the_geom,OBJECTID_1,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,Category,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac,SeatingTyp
POINT (-73.94850282538665 40.640194178336586),2177,3,Brooklyn,317,45,42,21,9,12,SBS,11/19/2016,1864 Nostrand Avenue,1864 Nostrand Avenue,Nostrand Avenue,Newkirk Avenue & Avenue D,Brooklyn,0,B44,,40.6402,-73.9485,X,AREA OF MINIMAL FLOOD HAZARD,5,LEANING BAR
POINT (-73.89488887155908 40.66755123236961),479,3,Brooklyn,305,42,60,19,8,2173,Community Health Centers,9/16/2013,400 Pennsylvania Avenue,400 Pennsylvania Avenue,Pennsylvania Avenue,Dumont and Blake Avenues,Brooklyn,305,B20,Not Applicable,40.6676,-73.8949,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKLESS 1.0
POINT (-73.94194143979212 40.81239057329724),1526,1,Manhattan,110,9,70,30,13,962,Senior Center,5/6/2013,448 Lenox Avenue,448 Lenox Avenue,Lenox Avenue,132nd & 133rd Street,Manhattan,110,Not Applicable,Not Applicable,40.8124,-73.9419,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
POINT (-73.97877228226909 40.64284782145709),1904,3,Brooklyn,312,39,44,21,10,1021,Plaza,5/30/2012,114 Beverley Road,114 Beverley Road,Beverly Road,Church Ave and East 2nd Street,Brooklyn,312,Not Applicable,Not Applicable,40.6428,-73.9788,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-74.0123213855502 40.70857201508638),848,1,Manhattan,101,1,65,26,10,1529,General,1/13/2014,74 Trinity Place,74 Trinity Place,Trinity Place,Rector and Thames,Manhattan,101,M05,Alliance for Downtown New York,40.7086,-74.0123,X,AREA OF MINIMAL FLOOD HAZARD,3,BACKLESS 1.0
POINT (-73.93349581323426 40.691869176673656),707,3,Brooklyn,303,36,56,25,8,2913,Municipal Facilities,1/13/2015,125 Stuyvesant Avenue,970 Lafayette Avenue,Lafayette Avenue,Stuyvesant Avenue & Malcolm X Boulevard,Brooklyn,303,B38,Not Applicable,40.6919,-73.9335,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-74.11645688486233 40.57415623273084),2104,5,Staten Island,502,50,64,24,11,3666,Bus Route,1/28/2017,32 New Dorp Plaza South,32 New Dorp Plaza South,New Dorp Lane,N. Railroad Avenue & S. Railroad Avenue,Staten Island,502,S76,Not Applicable,40.5742,-74.1165,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.96841607208277 40.796923018063815),1464,1,Manhattan,107,7,69,30,10,1279,General,10/15/2012,830-832 Amsterdam Avenue,830 Amsterdam Avenue,Amsterdam Avenue,West 100th and 101st Street,Manhattan,107,Not Applicable,Not Applicable,40.7969,-73.9684,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.99590428237734 40.7531325221373),2167,1,Manhattan,104,3,75,27,10,2,SBS,11/30/2016,360 W 34th Street,360 W 34th Street,W 34th Street,9th Avenue & 8th Avenue,Manhattan,4,M34,,40.7531,-73.9959,X,AREA OF MINIMAL FLOOD HAZARD,,LEANING BAR
POINT (-73.82768762195975 40.69361019703535),735,4,Queens,409,28,24,10,5,563,Bus Route,6/29/2012,119-02 94th Avenue,94-13 Lefferts Boulevard,Lefferts Boulevard,94th and 95th Avenues,Queens,409,Q10,Not Applicable,40.6936,-73.8277,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.935446047505 40.85309028424283),1764,1,Manhattan,112,10,72,31,13,863,General,10/12/2012,90 Bennett Avenue,90 Bennett Avenue,Bennett Avenue,West 184th and 186th Streets,Manhattan,112,Not Applicable,Not Applicable,40.8531,-73.9354,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-74.00571511405481 40.7062315762691),828,1,Manhattan,101,1,65,26,10,1012,BID,7/9/2012,155 Water Street,155 Water Street,Water Street,Maiden Lane and Fletcher Street,Manhattan,101,M15,Alliance for Downtown New York,40.7062,-74.0057,AE,,1,BACKLESS 1.0
POINT (-73.92252625891109 40.74385077897735),1089,4,Queens,402,26,37,12,14,2511,BID,7/25/2014,41-31 Queens Boulevard,41-31 Queens Boulevard,Queens Boulevard,41st Street & 42nd Street,Queens,402,Not Applicable,Sunnyside Shines,40.7439,-73.9225,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-74.0038625212872 40.6238429168518),210,3,Brooklyn,310,43,49,22,11,2046,General,7/31/2013,6816 13th Avenue,6816 13th Avenue,13th Avenue,Bay Ridge and Ovington Avenues,Brooklyn,310,Not Applicable,Not Applicable,40.6238,-74.0039,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-74.16776787536257 40.62746620852064),225,5,Staten Island,501,49,63,23,11,1901,General,5/1/2013,2324 Forest Avenue,2324 Forest Avenue,Forest Avenue,South Avenue & Lilac Street,Staten Island,501,S40,Not Applicable,40.6275,-74.1678,X,AREA OF MINIMAL FLOOD HAZARD,1,BACKED 1.0
POINT (-73.97857427968911 40.727865229333915),977,1,Manhattan,103,2,74,27,12,2773,Municipal Facilities,11/28/2014,610 East 12th Street,610 East 12th Street,East 12th Street,Avenue B & Avenue C,Manhattan,103,Not Applicable,Not Applicable,40.7279,-73.9786,X,AREA OF MINIMAL FLOOD HAZARD,1,BACKED 1.0
POINT (-73.96821905502858 40.683924161585836),1898,3,Brooklyn,302,35,57,25,8,820,General,7/25/2012,883 Fulton Street,883 Fulton Street,Vanderbilt Avenue,Gates Avenue and Fulton Street,Brooklyn,302,Not Applicable,Not Applicable,40.6839,-73.9682,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.99737491413002 40.679114112303026),591,3,Brooklyn,306,39,52,26,7,3957,General,1/12/2018,415 Court Street,415 Court Street,Court Street,2nd Place & 3rd Place,Brooklyn,306,Not Applicable,Not Applicable,40.6791,-73.9974,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.90331302079477 40.85488488478206),1770,2,Bronx,205,14,86,33,15,2654,Municipal Facilities,7/30/2014,125 E. 181st Street,125 E. 181st Street,E. 181st Street,Morris Avenue and Creston Avenue,Bronx,205,Not Applicable,Not Applicable,40.8549,-73.9033,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.96376036083329 40.71696423738489),2219,3,Brooklyn,301,33,50,26,12,53,SBS,1/29/2019,90-13 Metropolitan Avenue,90-13 Metropolitan Avenue,Woodhaven Blvd,Metropolitan Avenue & Polo Place,Brooklyn,47,q52,,40.717,-73.9638,X,AREA OF MINIMAL FLOOD HAZARD,5,LEANING BAR
POINT (-73.84455071368272 40.693655564619355),733,4,Queens,409,32,38,10,7,2856,Municipal Facilities,11/21/2014,88-07 102nd Street,88-07 102nd Street,102nd Street,88th Avenue and 89th Avenue,Queens,409,Not Applicable,Not Applicable,40.6937,-73.8446,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-74.17750654118302 40.540951320335985),4,5,Staten Island,503,51,62,24,11,3474,General,12/20/2016,856 Annadale Road,856 Annadale Road,Annadale Road,Belfield Avenue & Jefferson Boulevard,Staten Island,503,S55,Not Applicable,40.541,-74.1775,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.94948932554192 40.70305114534045),2063,3,Brooklyn,301,33,53,26,7,2919,Municipal Facilities,1/7/2015,134 Lorimer Street,134 Lorimer Street,Lorimer Street,Harrison Avenue & Throop Avenue,Brooklyn,301,B48,Not Applicable,40.7031,-73.9495,X,AREA OF MINIMAL FLOOD HAZARD,3,BACKLESS 1.0
POINT (-73.999263391763 40.71875966904907),924,1,Manhattan,102,1,65,26,7,3800,Senior Safety,8/4/2017,200 Centre Street,200 Centre Street,Centre Street,Hester Street & Grand Street,Manhattan,102,Not Applicable,Chinatown,40.7188,-73.9993,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
POINT (-73.86258085441374 40.679474679200744),2030,4,Queens,409,32,23,12,8,2375,Plaza,1/7/2014,7402 101st Avenue,7402 101st Avenue,Drew Street & 101st Street,Drew Street & 101st Street,Queens,409,Not Applicable,Not Applicable,40.6795,-73.8626,X,AREA OF MINIMAL FLOOD HAZARD,4,BACKLESS 1.0
POINT (-73.98553691535359 40.67666652521416),576,3,Brooklyn,306,39,52,20,7,2677,Municipal Facilities,7/29/2014,512 Carroll Street,1 Whitwell Place,Whitwell Place,Carroll Street & 1st Street,Brooklyn,306,Not Applicable,Not Applicable,40.6767,-73.9855,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
POINT (-73.88893964315656 40.81844882043946),1564,2,Bronx,202,17,85,32,15,1778,General,2/4/2013,866 Hunts Point Avenue,866 Hunts Point Avenue,Hunts Point Avenue,Seneca Avenue & Gilbert Place,Bronx,202,Not Applicable,Not Applicable,40.8184,-73.8889,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.91896457714853 40.744957733875765),1113,4,Queens,402,26,37,12,14,3868,Senior Safety,,45-26 43rd Avenue,45-26 43rd Avenue,43rd Avenue,46th Street & 45th Street,Queens,402,Not Applicable,Not Applicable,40.745,-73.919,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.88417058835186 40.74976073224578),1157,4,Queens,403,25,39,13,14,2256,Community Health Centers,12/5/2013,82-01 37th Avenue,82-01 37th Avenue,82nd Street,82nd and 83rd Streets,Queens,403,Not Applicable,82nd Street,40.7498,-73.8842,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.95231034581646 40.69449939759864),738,3,Brooklyn,303,36,56,25,8,1696,Senior Center,7/10/2013,1 Vernon Avenue,1 Vernon Avenue,Nostrand Avenue,Nostrand Avenue & Myrtle Avenue,Brooklyn,303,Not Applicable,Not Applicable,40.6945,-73.9523,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKED 1.0
POINT (-73.97907026284248 40.73472177591254),1014,1,Manhattan,106,4,74,27,12,2204,General,7/20/2016,401 East 20th Street,401 East 20th Street,East 20th Street,1st Avenue and FDR Drive,Manhattan,106,M23,Not Applicable,40.7347,-73.9791,X,AREA OF MINIMAL FLOOD HAZARD,3,BACKED 2.0
POINT (-73.99420576148815 40.743385856464435),1083,1,Manhattan,104,3,75,27,12,2219,General,10/28/2015,140 West 23rd Street,140 West 23rd Street,West 23rd Street,6th Avenue and 7th Avenue,Manhattan,104,Not Applicable,Not Applicable,40.7434,-73.9942,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKED 1.0
POINT (-73.94267031944987 40.66520309378122),455,3,Brooklyn,309,35,43,20,9,2055,General,6/21/2013,394 Kingston Avenue,394 Kingston Avenue,Kingston Avenue,Montgomery and Crown Streets,Brooklyn,309,Not Applicable,Not Applicable,40.6652,-73.9427,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-74.02302096423996 40.63553882488468),268,3,Brooklyn,310,43,51,23,10,1985,General,6/26/2013,6753 4th Avenue,6753 4th Avenue,4th Avenue,68th & Senator Street,Brooklyn,310,Not Applicable,Not Applicable,40.6355,-74.023,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.88331336570958 40.881072120835334),1855,2,Bronx,207,11,80,36,13,2320,General,3/19/2014,3425 Jerome Avenue,3425 Jerome Avenue,Jerome Avenue,E. 208th Street and E. Gun Hill Road,Bronx,207,Not Applicable,Jerome-Gun Hill,40.8811,-73.8833,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.95330556309771 40.79860072469752),1474,1,Manhattan,110,9,70,30,13,2268,General,12/3/2013,111 W 110th Street,111 W 110th Street,W 110th Street,Lenox Avenue & ACP Jr. Blvd,Manhattan,110,M02,Not Applicable,40.7986,-73.9533,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKED 1.0
POINT (-73.95951421120034 40.76504720931502),1273,1,Manhattan,108,5,76,28,12,4189,General,4/11/2019,328 East 67th Street,328 East 67th Street,East 67th Street,First Avenue & Second Avenue,Manhattan,108,Not Applicable,Not Applicable,40.765,-73.9595,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.85157260776846 40.82021975744848),1576,2,Bronx,209,18,87,32,15,2869,Municipal Facilities,12/19/2014,633 Olmstead Avenue,633 Olmstead Avenue,Olmstead Avenue,Seward Avenue & Randall Avenue,Bronx,209,BX36,Not Applicable,40.8202,-73.8516,X,AREA OF MINIMAL FLOOD HAZARD,4,BACKLESS 1.0
POINT (-73.9409165663974 40.814988721514226),1542,1,Manhattan,110,9,70,30,13,2558,Municipal Facilities,6/26/2014,104 West 136th Street,104 West 136th Street,West 136th Street,Malcolm X Boulevard and Adam Clayton Powell Boulevard,Manhattan,110,Not Applicable,Not Applicable,40.815,-73.9409,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
POINT (-73.98278012359714 40.693707686365734),734,3,Brooklyn,302,35,57,25,8,2912,Municipal Facilities,12/29/2014,165 Myrtle Avenue,165 Myrtle Avenue,Myrtle Avenue,Prince Street & Flatbush Avenue,Brooklyn,302,B54,Myrtle Avenue Brooklyn Partnership,40.6937,-73.9828,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKLESS 2.0
POINT (-73.9541821296649 40.77006704082259),1304,1,Manhattan,108,5,76,28,12,4024,General,4/26/2018,1456 First Avenue,1456 First Avenue,First Avenue,75th Street & 76th Street,Manhattan,108,M15,Not Applicable,40.7701,-73.9542,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKLESS 2.0
POINT (-73.94920709474545 40.82322805124958),1604,1,Manhattan,109,7,71,30,13,2822,General,11/13/2014,1652 Amsterdam Avenue,1652 Amsterdam Avenue,Amsterdam Avenue,West 141st Street & West 142nd Street,Manhattan,109,Not Applicable,Not Applicable,40.8232,-73.9492,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.94899928918436 40.823504854814516),1606,1,Manhattan,109,7,71,30,13,2277,General,12/6/2013,1658 Amsterdam Avenue,1658 Amsterdam Avenue,Amsterdam Avenue,W142nd & W143rd Street,Manhattan,109,Not Applicable,Not Applicable,40.8235,-73.949,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.96358327480374 40.76119757231037),1236,1,Manhattan,108,5,73,28,12,4237,Bus Route,3/20/2019,300 East 60th Street,300 East 60th Street,East 60th Street,2 Avenue & 1 Avenue,Manhattan,108,M11,Not Applicable,40.7612,-73.9636,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.8837517655746 40.743248610305976),1081,4,Queens,404,25,39,16,6,3010,General,2/2/2015,81-04 Broadway,81-04 Broadway,Broadway,81st Street and 82nd Street,Queens,404,Not Applicable,Not Applicable,40.7432,-73.8838,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.89863589618182 40.71261055020563),2048,4,Queens,405,30,28,15,6,2527,General,11/19/2014,62-16 Metropolitan Avenue,62-16 Metropolitan Avenue,Metropolitan Avenue,Fresh Pond Road and 62nd Street,Queens,405,Q54,Not Applicable,40.7126,-73.8986,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.80767002109056 40.587955207006374),2232,4,Queens,414,32,23,15,5,66,SBS,2/5/2019,81-01 Rockaway Beach Blvd,81-01 Rockaway Beach Blvd,Rockaway Beach Blvd,Beach 84th street & Beach 81st street,Queens,55,Q53,,40.588,-73.8077,X,AREA OF MINIMAL FLOOD HAZARD,1,LEANING BAR
POINT (-73.9556598729029 40.68044107523047),1921,3,Brooklyn,303,36,57,25,8,1106,General,9/27/2012,537 Franklin Avenue,537 Franklin Avenue,Franklin Avenue,Fulton Street and Lefferts Place,Brooklyn,303,Not Applicable,Not Applicable,40.6804,-73.9557,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-74.00615734409851 40.72419784147287),2053,1,Manhattan,102,3,66,26,10,2687,BID,12/12/2014,104 Varick Street,104 Varick Street,Varick Street,Watts Street & Broome Street,Manhattan,102,Not Applicable,Hudson Square Connection,40.7242,-74.0062,X,AREA OF MINIMAL FLOOD HAZARD,2,BACKLESS 1.0
POINT (-73.870177344605 40.733838943637096),1007,4,Queens,404,25,35,16,6,2613,General,8/4/2014,90-15 Queens Boulevard,90-15 Queens Boulevard,59th Avenue,57th & 59th Avenue,Queens,404,Not Applicable,Not Applicable,40.7338,-73.8702,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKED 1.0
POINT (-73.9823749135639 40.66578924159376),463,3,Brooklyn,306,39,44,21,9,4067,General,5/8/2018,365 7th Avenue,365 7th Avenue,7th Avenue,10th Street & 11th Street,Brooklyn,306,B67,Not Applicable,40.6658,-73.9824,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 2.0
POINT (-73.89243364089607 40.74896225138607),1141,4,Queens,403,25,34,13,14,3811,General,6/28/2017,73-01 37th Avenue,73-01 37th Avenue,37th Avenue,73rd Street & 74th Street,Queens,403,Not Applicable,Not Applicable,40.749,-73.8924,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
