the_geom,OBJECTID_1,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,Category,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac,SeatingTyp
POINT (-73.91783569238173 40.74236394527715),1070,4,Queens,402,26,37,12,14,2508,BID,7/25/2014,47-02 Greenpoint Avenue,47-02 Greenpoint Avenue,47th Street,Greenpoint Avenue & 47th Street,Queens,402,B24,Sunnyside Shines,40.7424,-73.9178,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.88718558188054 40.838289715094405),1689,2,Bronx,203,17,79,32,15,3527,Municipal Facilities,5/26/2017,1778 Southern Boulevard,1778 Southern Boulevard,Boston Road & E. 175th Street,Boston Road,Bronx,203,Not Applicable,Not Applicable,40.8383,-73.8872,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.80034139680235 40.758971931455825),1226,4,Queens,407,19,26,11,6,2358,Senior Center,3/14/2014,42-15 166th Street,42-15 166th Street,166th Street,43rd Avenue & Northern Blvd,Queens,407,Not Applicable,Not Applicable,40.759,-73.8003,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.87996292166753 40.763950040849956),1260,4,Queens,403,22,34,13,14,3352,General,7/13/2016,89-01 Astoria Boulevard,89-01 Astoria Boulevard,Astoria Boulevard,89th Street & 25th Avenue,Queens,403,Not Applicable,Not Applicable,40.764,-73.88,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKED 1.0
POINT (-73.79454967016565 40.733479793000555),1001,4,Queens,408,24,25,11,6,3345,Municipal Facilities,7/11/2016,68-05 Fresh Meadow Lane,68-05 Fresh Meadow Lane,Fresh Meadow Lane,68th Avenue & 69th Avenue,Queens,408,Not Applicable,Not Applicable,40.7335,-73.7945,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.8625749634915 40.74953406636623),1952,4,Queens,404,21,39,13,14,1342,Plaza,6/1/2018,103-12 Roosevelt Avenue,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,404,Q20A,Not Applicable,40.7495,-73.8626,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.90226160982945 40.88228589188672),1860,2,Bronx,208,11,81,33,13,3684,BID,8/1/2017,5716 Broadway,5716 Broadway,Broadway,W 234th Street & W 236th Street,Bronx,208,Not Applicable,Kingsbridge,40.8823,-73.9023,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
POINT (-73.91512825503081 40.775819904729076),1330,4,Queens,401,22,36,12,14,2020,General,8/1/2013,27-04 23rd Avenue,27-04 23rd Avenue,23rd Avenue,27th & 28th Street,Queens,401,Not Applicable,Not Applicable,40.7758,-73.9151,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.89097558083304 40.84531971370252),1715,2,Bronx,206,17,79,33,15,2897,Municipal Facilities,12/3/2014,700 East Tremont Avenue,1936 Crotona Avenue,Crotona Avenue,East Tremont Avenue & Fairmount Place,Bronx,206,BX17,Not Applicable,40.8453,-73.891,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.82609060733185 40.751499729375574),1169,4,Queens,407,20,25,16,6,3359,General,7/13/2016,43-50 Main Street,43-50 Main Street,Main Street,Elder Avenue & Peck Avenue,Queens,407,Not Applicable,Not Applicable,40.7515,-73.8261,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
POINT (-73.94145788613598 40.85130552694261),1760,1,Manhattan,112,10,71,31,13,3280,General,5/24/2016,340 Haven Avenue,340 Haven Avenue,W 181st Street,W 181st Street & GW Bridge On-Ramp,Manhattan,112,Not Applicable,Not Applicable,40.8513,-73.9415,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.94700162974718 40.75648064540368),1215,4,Queens,401,26,37,12,12,4031,Bus Route,4/26/2018,40-13 Vernon Boulevard,9-99 41st Avenue,41st Avenue,Vernon Boulevard & 10th Street,Queens,401,Q102,Not Applicable,40.7565,-73.947,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,BACKED 2.0
POINT (-73.9350750695174 40.84644248231403),1733,1,Manhattan,112,10,72,31,13,2762,Municipal Facilities,12/4/2014,586 W 177th Street,586 W 177th Street,W 177th Street,Saint Nicholas Avenue and Audubon Avenue,Manhattan,112,Not Applicable,Not Applicable,40.8464,-73.9351,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.94592031323471 40.79314617965855),1431,1,Manhattan,111,8,68,29,13,1242,General,10/9/2012,127 East 107th Street,127 East 107th Street,East 107th Street,East 107th and 108th Streets,Manhattan,111,Not Applicable,Not Applicable,40.7931,-73.9459,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3,BACKED 1.0
POINT (-73.99411955383772 40.741055738090736),1054,1,Manhattan,105,3,75,28,12,1385,General,12/19/2012,656 6th Avenue,656 6th Avenue,6th Avenue,W19th & W20th Street,Manhattan,105,M05,Flatiron/23rd Street Partnership,40.7411,-73.9941,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.93827895300058 40.85067507276619),1758,1,Manhattan,112,10,71,31,13,3154,General,9/12/2015,770 W 181st Street,454 Fort Washington Avenue,Ft Washington Avenue,Ft Washington Avenue & Broadway,Manhattan,112,Not Applicable,Washington Heights,40.8507,-73.9383,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.96899625866023 40.79444264702577),1443,1,Manhattan,107,7,69,30,10,825,General,2/6/2013,163 West 97th Street,163 West 97th Street,West 97th Street,Amsterdam Avenue & Columbus Avenue,Manhattan,107,Not Applicable,Not Applicable,40.7944,-73.969,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.9119877680238 40.75578782166546),1981,4,Queens,401,26,30,13,14,1635,Senior Center,3/5/2013,48-14 Broadway,48-14 Broadway,Broadway,Newton Road & 49th Street,Queens,401,Not Applicable,Not Applicable,40.7558,-73.912,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.82689787529107 40.76436305081279),1263,4,Queens,407,20,40,16,6,1622,Senior Center,3/5/2013,138-46 Northern Boulevard,138-46 Northern Blvd,Northern Boulevard,Union Street & Bowne Street,Queens,407,Not Applicable,Not Applicable,40.7644,-73.8269,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.88020747806898 40.80982904656402),1514,2,Bronx,202,17,84,34,15,3736,Bus Route,6/29/2017,410 Halleck Street,410 Halleck Street,Halleck Street,Food Center Drive & Oak Point Avenue,Bronx,202,BX6,Not Applicable,40.8098,-73.8802,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4,BACKED 2.0
POINT (-73.82108253340982 40.670294944986246),521,4,Queens,410,32,31,15,5,588,Bus Route,6/29/2012,135-08 Lefferts Boulevard,,Lefferts Boulevard,135th and 149th Avenues,Queens,410,Q10,Not Applicable,40.6703,-73.8211,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKLESS 1.0
POINT (-73.81064295986658 40.764456247950584),1268,4,Queens,407,20,40,16,6,4058,General,8/9/2018,154-08 Northern Boulevard,154-08 Northern Boulevard,Northern Boulevard,154th Street & 155th Street,Queens,0,Q13,Not Applicable,40.7645,-73.8106,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 2.0
POINT (-73.8434746994072 40.71994483720833),933,4,Queens,406,29,28,16,6,1897,General,4/26/2013,107-06 71st Road,107-06 71st Road,71st Road,Austin Street & Queens Blvd,Queens,406,Not Applicable,Not Applicable,40.7199,-73.8435,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.9754906997678 40.6869407576365),1908,3,Brooklyn,302,35,57,25,8,1062,Plaza,5/16/2018,650 Fulton Street,650 Fulton Street,Plaza,Fulton Street and Lafayette Avenue,Brooklyn,302,Not Applicable,Not Applicable,40.6869,-73.9755,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 2.0
POINT (-73.85954950356509 40.82418975221748),1611,2,Bronx,209,18,85,34,15,2868,Municipal Facilities,12/19/2014,1903 Story Avenue,1903 Story Avenue,Story Avenue,Bolton Avenue & White Plains Road,Bronx,209,BX05,Not Applicable,40.8242,-73.8595,X,AREA OF MINIMAL FLOOD HAZARD,4,BACKLESS 1.0
POINT (-73.89908658285165 40.862085998726485),1798,2,Bronx,205,14,86,33,15,1945,BID,5/7/2013,114 East Fordham Road,114 East Fordham Road,East Fordham Rd & 188th Street,E. Fordham Road & 188th Street,Bronx,205,Not Applicable,Fordham Road,40.8621,-73.8991,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.98184895322808 40.667129497469595),474,3,Brooklyn,306,39,44,21,9,2624,Municipal Facilities,7/24/2014,435 9th Street,435 9th Street,9th Street,6th Avenue & 7th Avenue,Brooklyn,306,B61,Not Applicable,40.6671,-73.9818,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.82730304704036 40.85247988641926),2188,2,Bronx,210,13,82,34,14,23,SBS,,3276 Westchester Avenue,3685 Amendola Place,Amendolda Place,Westchester Avenue & Bruckner Blvd,Bronx,210,BX12,,40.8525,-73.8273,X,AREA OF MINIMAL FLOOD HAZARD,,LEANING BAR
POINT (-73.9813272251712 40.77412530394775),1321,1,Manhattan,107,6,67,27,10,3659,Senior Safety,6/21/2017,158 Columbus Avenue,158 Columbus Avenue,Columbus Avenue,W. 67th Street & W. 66th Street,Manhattan,107,Not Applicable,Lincoln Square,40.7741,-73.9813,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.84781654654842 40.721660284611886),943,4,Queens,406,29,28,16,6,1174,Senior Center,12/12/2012,106-06 Queens Boulevard,106-06 Queens Boulevard,69th Road,Austin Street and Queens Boulevard,Queens,406,Not Applicable,Not Applicable,40.7217,-73.8478,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.98825537411786 40.71414809655667),896,1,Manhattan,103,1,65,26,7,3331,Municipal Facilities,6/2/2016,197 East Broadway,197 East Broadway,E Broadway,Jefferson Street & Clinton Street,Manhattan,103,Not Applicable,Not Applicable,40.7141,-73.9883,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
POINT (-73.80670282550727 40.70648278279753),829,4,Queens,412,24,32,11,5,2973,Municipal Facilities,11/21/2014,148-64 Hillside Avenue,148-64 Hillside Avenue,Hillside Avenue,148th Street & 150th Street,Queens,412,Q43,Not Applicable,40.7065,-73.8067,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.98275562279555 40.77686907163635),1341,1,Manhattan,107,6,67,27,10,1994,General,9/20/2013,201 Amsterdam Avenue,201 Amsterdam Avenue,Amsterdam Avenue,W 69th & W70th Street,Manhattan,107,M11,Not Applicable,40.7769,-73.9828,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.77235088403383 40.76600292758324),1281,4,Queens,411,19,26,11,6,1507,BID,1/25/2013,38-20 Bell Blvd,38-20 Bell Blvd,Bell Blvd,36th and 38th Avenues,Queens,411,Not Applicable,Bell Blvd BBA,40.766,-73.7724,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.91695631554354 40.682365132059),624,3,Brooklyn,316,41,55,25,8,2812,Municipal Facilities,12/31/2014,121 Saratoga Avenue,121 Saratoga Avenue,Saratoga Avenue,Chauncey Street and Bainbridge Street,Brooklyn,316,Not Applicable,Not Applicable,40.6824,-73.917,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.93200652698742 40.755320681021416),1190,4,Queens,401,26,30,12,12,1213,General,12/12/2012,29-20 37th Avenue,29-20 37th Avenue,37th Avenue,Old Ridge Road and 30th Street,Queens,401,Not Applicable,Not Applicable,40.7553,-73.932,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.99789621956178 40.744948008255776),1106,1,Manhattan,104,3,75,27,12,1113,Senior Center,12/19/2012,260 West 23rd Street,260 W 23rd Street,West 23rd Street,8th Avenue & 7th Avenue,Manhattan,104,M23,Not Applicable,40.7449,-73.9979,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKLESS 1.0
POINT (-73.77298502006632 40.76760305023806),1295,4,Queens,411,19,26,11,6,1504,BID,1/25/2013,36-01 Bell Blvd,36-01 Bell Blvd,Bell Blvd,36th and 38th Avenues,Queens,411,Not Applicable,Bell Blvd BBA,40.7676,-73.773,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.95138557170074 40.66811175080523),488,3,Brooklyn,309,35,43,20,9,1575,General,5/29/2013,1183 President Street,1183 President Street,President street,Nostrand Avenue & Rogers Avenue,Brooklyn,309,Not Applicable,Not Applicable,40.6681,-73.9514,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.92033457349243 40.81216372148321),1525,2,Bronx,201,8,84,29,15,3817,Senior Safety,8/1/2017,401 E 143rd Street,401 E 143rd Street,E 143rd Street,Willis Avenue & Brook Avenue,Bronx,201,Not Applicable,Not Applicable,40.8122,-73.9203,X,AREA OF MINIMAL FLOOD HAZARD,6,BACKED 1.0
POINT (-73.94800910985279 40.77895527381359),1354,1,Manhattan,108,5,76,28,12,1099,Senior Center,5/8/2013,1721 1st Avenue,1721 1st Avenue,1st Avenue,89th and 90th Street,Manhattan,108,Not Applicable,Not Applicable,40.779,-73.948,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.88837550707298 40.651717990964286),351,3,Brooklyn,305,42,60,19,8,2610,Municipal Facilities,7/7/2014,12048 Flatlands Avenue,12048 Flatlands Avenue,Flatlands Avenue,Pennsylvania Avenue & Louisiana Avenue,Brooklyn,305,B82,Not Applicable,40.6517,-73.8884,X,AREA OF MINIMAL FLOOD HAZARD,3,BACKLESS 1.0
POINT (-73.94694956521258 40.79339072598137),1433,1,Manhattan,111,8,68,29,13,2107,Community Health Centers,8/15/2013,104 East 107th Street,104 East 107th Street,East 107th Street,Lexington and Park Avenues,Manhattan,111,Not Applicable,Not Applicable,40.7934,-73.9469,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,3,BACKED 1.0
POINT (-73.9837039854479 40.66819819114524),491,3,Brooklyn,306,39,44,21,9,1552,General,1/15/2013,431 Sixth Avenue,431 Sixth Avenue,Sixth Avenue,8th & 9th Street,Brooklyn,306,Not Applicable,Not Applicable,40.6682,-73.9837,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.75224889852917 40.69847377277818),761,4,Queens,412,27,33,14,5,3321,Municipal Facilities,7/6/2016,201-15 115th Avenue,201-15 115th Avenue,115th Avenue,201st Street & 202nd Street,Queens,412,Not Applicable,Not Applicable,40.6985,-73.7522,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.93501587141941 40.796354886416545),2085,1,Manhattan,111,8,68,29,13,3054,General,11/28/2014,2266 1st Avenue,2266 1st Avenue,1st Avenue,East 116th Street & East 117th Street,Manhattan,111,M15,Not Applicable,40.7964,-73.935,AE,,3,BACKLESS 1.0
POINT (-73.93545320216042 40.803980203436225),1492,1,Manhattan,111,8,68,30,13,1247,General,10/9/2012,2309 Third Avenue,2309 Third Avenue,3rd Avenue,E 125th and E 126th Streets,Manhattan,111,M100,Not Applicable,40.804,-73.9355,X,AREA OF MINIMAL FLOOD HAZARD,4,BACKLESS 1.0
POINT (-74.006358777838 40.705784346754776),821,1,Manhattan,101,1,65,26,10,2035,General,8/12/2013,88 Pine Street,88 Pine Street,Water Street,Maiden Lane and Pine Street,Manhattan,101,Not Applicable,Alliance for Downtown New York,40.7058,-74.0064,AE,,1,BACKED 1.0
POINT (-73.9560949400628 40.779816631294395),1367,1,Manhattan,108,4,73,28,12,4201,Bus Route,11/21/2018,123 East 86th Street,123 East 86th Street,East 86th Street,Park Avenue & Lexington Avenue,Manhattan,108,M86,Not Applicable,40.7798,-73.9561,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.7672224455585 40.59450120909373),58,4,Queens,414,31,23,15,5,2854,Municipal Facilities,12/2/2014,180 Beach 35th Street,180 Beach 35th Street,Beach 35th Street,Edgemere Avenue and Boardwalk,Queens,414,Not Applicable,Not Applicable,40.5945,-73.7672,AE,,1,BACKED 1.0
POINT (-73.82553460156507 40.8297820397741),1638,2,Bronx,210,13,82,34,14,1395,General,3/26/2013,3552 East Tremont Avenue,3552 East Tremont Avenue,East Tremont Avenue,LaFayette Avenue & Sommer Place,Bronx,210,BX40,Not Applicable,40.8298,-73.8255,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.87106972657618 40.878440695536554),1851,2,Bronx,207,11,80,36,13,3534,Bus Route,2/4/2017,400 E Gun Hill Road,400 E Gun Hill Road,400 E Gun Hill Road,Bronx River Parkway & Webster Avenue,Bronx,207,Not Applicable,Not Applicable,40.8784,-73.8711,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.87448212914433 40.74852156197201),1136,4,Queens,404,21,34,13,14,2864,General,11/12/2014,91-08 Roosevelt Avenue,91-08 Roosevelt Avenue,Roosevelt Avenue,Aske Street & Benham Street,Queens,404,Not Applicable,Not Applicable,40.7485,-73.8745,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.95376478254609 40.66347582162543),2174,3,Brooklyn,309,40,43,20,9,9,SBS,11/19/2016,381 Rogers Avenue,381 Rogers Avenue,Rogers Avenue,Empire Blvd & Sterling Street,Brooklyn,0,B44,,40.6635,-73.9538,X,AREA OF MINIMAL FLOOD HAZARD,,LEANING BAR
POINT (-73.97304164075972 40.74423486888106),2182,1,Manhattan,106,4,74,27,12,17,SBS,11/30/2016,401 E 34th Street,606 1st Avenue,1st Avenue,E 34th Street & E 35th Street,Manhattan,0,M15,,40.7442,-73.973,AE,,1,LEANING BAR
POINT (-73.90684695660549 40.88647316466977),2117,2,Bronx,208,11,81,34,16,3867,Senior Safety,9/1/2017,3700 Riverdale Avenue,3700 Riverdale Avenue,Riverdale Avenue,W 236th Street & Fieldstone Road,Bronx,208,Not Applicable,Not Applicable,40.8865,-73.9068,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 2.0
POINT (-73.90686297159101 40.773215945146944),2095,4,Queens,401,22,36,13,14,3382,Municipal Facilities,12/3/2016,22-11 38th Street,22-11 38th Street,38th Street,38th Street & Steinway Street,Queens,401,Not Applicable,Not Applicable,40.7732,-73.9069,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.9560673015249 40.808011138568304),1507,1,Manhattan,110,9,70,30,13,2115,Community Health Centers,9/4/2013,370 West 120th Street,370 West 120th Street,West 120th Street,Manhattan and Morningside Avenues,Manhattan,110,Not Applicable,Not Applicable,40.808,-73.9561,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.95014792745981 40.67168894164629),530,3,Brooklyn,308,35,43,20,9,3455,Bus Route,11/3/2016,845 St Johns Place,845 St Johns Place,St Johns Place,New York Avenue & Nostrand Avenue,Brooklyn,308,B45,Not Applicable,40.6717,-73.9501,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.95752475139736 40.810376574260204),1518,1,Manhattan,109,7,70,30,13,2792,Municipal Facilities,12/5/2014,123 Morningside Drive,123 Morningside Drive,Morningside Drive,Amsterdam Avenue & West 121st Street,Manhattan,109,Not Applicable,Not Applicable,40.8104,-73.9575,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.71711989934214 40.73533058665784),1016,4,Queens,413,23,33,11,3,2607,Municipal Facilities,7/11/2014,250-06 Hillside Avenue,250-06 Hillside Avenue,Hillside Avenue,250th Street and 251st Street,Queens,413,Not Applicable,Not Applicable,40.7353,-73.7171,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.83679374665229 40.578843188248456),31,4,Queens,414,32,23,15,5,2485,BID,12/1/2014,143 Beach 116th Street,143 Beach 116th Street,Beach 116th Street,Rockaway Beach Blvd & Ocean Promenade Walkway,Queens,414,Not Applicable,Beach 116th Street Partnership,40.5788,-73.8368,X,AREA OF MINIMAL FLOOD HAZARD,1,BACKED 1.0
POINT (-73.91401682824875 40.831816033907934),1658,2,Bronx,204,16,77,32,15,3217,General,9/18/2015,1150 Morris Avenue,270 E. 167th Street,East 167th Street and College,E. 167th Street and E. 166th Street,Bronx,204,BX32,Not Applicable,40.8318,-73.914,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.91106357753014 40.775832727695914),1328,4,Queens,401,22,36,12,14,3514,General,11/30/2016,22-16 31st Street,22-16 31st Street,31st Street,Ditmars Blvd & 23rd Avenue,Queens,401,Not Applicable,Not Applicable,40.7758,-73.9111,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.92080610801605 40.74316249775695),2046,4,Queens,402,26,37,12,14,2510,BID,7/25/2014,43-22 Queens Boulevard,43-22 Queens Boulevard,Queens Boulevard,43rd Street & 44th Street,Queens,402,Not Applicable,Sunnyside Shines,40.7432,-73.9208,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.91420893161091 40.831484328378586),1659,2,Bronx,204,16,77,32,15,3217,General,9/18/2015,1150 Morris Avenue,270 E. 167th Street,East 167th Street and College,E. 167th Street and E. 166th Street,Bronx,204,BX32,Not Applicable,40.8315,-73.9142,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.75318163904649 40.60298875595714),99,4,Queens,414,31,23,10,5,2446,Plaza,12/9/2015,10-31 Beach 20th Street,10-31 Beach 20th Street,Plaza,Beach 20th & Beach 21st Street,Queens,414,Not Applicable,Not Applicable,40.603,-73.7532,X,AREA OF MINIMAL FLOOD HAZARD,1,BACKED 1.0
POINT (-73.99352584723657 40.60204936204539),2203,3,Brooklyn,311,47,47,23,11,37,Bus Route,9/25/2018,8523 Bay Parkway,8523 Bay Parkway,Bay Parkway,86th Street & 85th Street,Brooklyn,34,B82,,40.602,-73.9935,X,AREA OF MINIMAL FLOOD HAZARD,3,LEANING BAR
POINT (-73.78157508390643 40.68721433798262),651,4,Queens,412,27,32,14,5,2843,Municipal Facilities,12/11/2014,166-01 116th Avenue,166-01 116th Avenue,166th Street,166th Street and 167th Street,Queens,412,Not Applicable,Not Applicable,40.6872,-73.7816,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
POINT (-73.94553156629784 40.78636972727614),1399,1,Manhattan,111,8,68,29,13,3826,General,,1924 2nd Avenue,1924 2nd Avenue,2nd Avenue,E 99th Street & E 100th Street,Manhattan,111,Not Applicable,Not Applicable,40.7864,-73.9455,X,AREA OF MINIMAL FLOOD HAZARD,3,Unknown
POINT (-73.90212060130092 40.665100824700616),454,3,Brooklyn,316,42,55,19,8,2391,Senior Center,3/6/2014,460 Dumont Avenue,460 Dumont Avenue,Dumont Avenue,Junius Street & Powell Street,Brooklyn,316,Not Applicable,Not Applicable,40.6651,-73.9021,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.92050792902724 40.86805603218678),1823,1,Manhattan,112,10,72,31,13,892,General,3/14/2013,4961 Broadway,4961 Broadway,Broadway,Isham and West 207th Street,Manhattan,112,Not Applicable,Not Applicable,40.8681,-73.9205,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKLESS 1.0
POINT (-73.97076280863845 40.79164471333386),1423,1,Manhattan,107,6,69,30,10,1972,General,7/23/2013,154 West 93rd Street,154 West 93rd Street,West 93rd Street,Amsterdam Avenue & Columbus Avenue,Manhattan,107,Not Applicable,Not Applicable,40.7916,-73.9708,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.95337758630916 40.7711939051659),1309,1,Manhattan,108,5,76,28,12,2308,Senior Center,1/10/2014,1486 1st Avenue,1486 1st Avenue,1st Avenue,E77th &E78th Street,Manhattan,108,M15,Not Applicable,40.7712,-73.9534,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.94016605279074 40.6511972599815),346,3,Brooklyn,317,45,58,21,9,3229,Municipal Facilities,5/5/2016,3924 Church Avenue,3924 Church Avenue,Church Avenue,39th Street & 40th Street,Brooklyn,317,Not Applicable,Not Applicable,40.6512,-73.9402,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.8829619204286 40.75591943351659),2005,4,Queens,403,25,34,13,14,1978,General,9/26/2013,84-13 Northern Boulevard,84-13 Northern Boulevard,Northern Boulevard,84th & 85th Street,Queens,403,Not Applicable,Not Applicable,40.7559,-73.883,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.94841284097663 40.599500951848796),82,3,Brooklyn,315,48,41,19,9,3921,Senior Safety,1/24/2018,2302 Avenue U,2113 E 23rd Street,E 23rd Street,E 23rd Street & E 24th Street,Brooklyn,315,Not Applicable,Not Applicable,40.5995,-73.9484,X,AREA OF MINIMAL FLOOD HAZARD,4,BACKED 2.0
POINT (-73.76745256609595 40.75608534129622),1205,4,Queens,411,19,25,11,6,3350,Municipal Facilities,7/7/2016,47-28 Bell Boulevard,47-28 Bell Boulevard,Bell Boulevard,47th Avenue & 48th Avenue,Queens,411,Not Applicable,Not Applicable,40.7561,-73.7675,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-74.00453519695874 40.655407476852716),382,3,Brooklyn,307,38,51,25,7,1607,General,1/8/2013,153 35th Street,153 35th Street,35th Street,Fourth and Third Avenues,Brooklyn,307,Not Applicable,Not Applicable,40.6554,-74.0045,X,AREA OF MINIMAL FLOOD HAZARD,4,BACKED 1.0
POINT (-73.94859500695652 40.797940899013206),1472,1,Manhattan,110,9,68,30,13,2265,Community Health Centers,12/2/2013,1330 5th Avenue,1330 5th Avenue,5th Avenue,E111th & E112th Street,Manhattan,110,M01,Not Applicable,40.7979,-73.9486,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKLESS 1.0
POINT (-73.99494909554267 40.72602476173897),958,1,Manhattan,102,1,66,26,12,2217,General,11/12/2013,167 Crosby Street,167 Crosby Street,Bleeker Street,Bleeker Street and Lafayette Streets,Manhattan,102,Not Applicable,NOHO NY,40.726,-73.9949,X,AREA OF MINIMAL FLOOD HAZARD,,BACKED 1.0
POINT (-73.93561348482363 40.80455581265649),1494,1,Manhattan,111,9,68,30,13,3558,Bus Route,2/10/2017,185 E 126th Street,185 E 126th Street,E 126th Street,3rd Avenue & Lexington Avenue,Manhattan,111,M35,Not Applicable,40.8046,-73.9356,X,AREA OF MINIMAL FLOOD HAZARD,4,BACKLESS 2.0
POINT (-73.88676956294009 40.83728467364168),1685,2,Bronx,203,17,79,32,15,2877,Municipal Facilities,12/3/2014,931 E. 174th Street,931 E. 174th Street,Hoe Avenue,Hoe Avenue and Southern Blvd.,Bronx,203,BX36,Not Applicable,40.8373,-73.8868,X,AREA OF MINIMAL FLOOD HAZARD,,BACKLESS 1.0
POINT (-73.84844712506445 40.821335086774596),1589,2,Bronx,209,18,87,34,15,945,General,1/10/2013,706 Castle Hill Avenue,706 Castle Hill Avenue,Castle Hill Avenue,Seward and Homer Avenues,Bronx,209,Not Applicable,Not Applicable,40.8213,-73.8484,X,AREA OF MINIMAL FLOOD HAZARD,5,BACKED 1.0
